GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-algebra,com.irurueta.statistics,MultivariateNormalDist,48,653,7,55,19,171,7,61,0,37
com.irurueta:irurueta-algebra,com.irurueta.statistics,InvalidCovarianceMatrixException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.statistics,MultivariateGaussianRandomizer,17,181,3,17,5,47,3,16,0,9
com.irurueta:irurueta-algebra,com.irurueta.algebra,GaussJordanElimination,1,364,2,50,0,74,2,28,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,Matrix,95,2481,77,327,30,458,75,218,0,91
com.irurueta:irurueta-algebra,com.irurueta.algebra,NormType,0,21,0,0,0,4,0,1,0,1
com.irurueta:irurueta-algebra,com.irurueta.algebra,Complex,15,430,2,8,4,110,3,43,1,40
com.irurueta:irurueta-algebra,com.irurueta.algebra,NoConvergenceException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,CholeskyDecomposer,14,411,3,45,4,89,3,32,0,11
com.irurueta:irurueta-algebra,com.irurueta.algebra,OneNormComputer,0,113,3,13,0,28,3,12,0,7
com.irurueta:irurueta-algebra,com.irurueta.algebra,SingularMatrixException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,FrobeniusNormComputer,0,100,3,9,0,25,3,10,0,7
com.irurueta:irurueta-algebra,com.irurueta.algebra,NormComputer,0,58,3,8,0,16,3,8,0,5
com.irurueta:irurueta-algebra,com.irurueta.algebra,LockedException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,LUDecomposer,57,833,16,108,21,173,16,66,0,20
com.irurueta:irurueta-algebra,com.irurueta.algebra,DecomposerException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,BuildInfo,6,107,1,3,2,28,1,11,0,10
com.irurueta:irurueta-algebra,com.irurueta.algebra,ArrayUtils,23,1024,20,116,6,228,20,90,0,42
com.irurueta:irurueta-algebra,com.irurueta.algebra,WrongSizeException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,NonSymmetricPositiveDefiniteMatrixException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,RankDeficientMatrixException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,RQDecomposer,10,274,3,25,7,72,3,19,0,8
com.irurueta:irurueta-algebra,com.irurueta.algebra,DecomposerType,0,39,0,0,0,7,0,1,0,1
com.irurueta:irurueta-algebra,com.irurueta.algebra,AlgebraException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,InfinityNormComputer,0,84,3,9,0,23,3,10,0,7
com.irurueta:irurueta-algebra,com.irurueta.algebra,QRDecomposer,17,455,5,55,5,95,6,38,1,13
com.irurueta:irurueta-algebra,com.irurueta.algebra,NotReadyException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,Decomposer,4,38,1,3,1,14,1,7,0,6
com.irurueta:irurueta-algebra,com.irurueta.algebra,Utils,191,1435,54,130,74,344,46,103,0,57
com.irurueta:irurueta-algebra,com.irurueta.algebra,NotAvailableException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-algebra,com.irurueta.algebra,SingularValueDecomposer,139,2321,41,221,37,415,40,137,0,46
com.irurueta:irurueta-algebra,com.irurueta.algebra,EconomyQRDecomposer,40,830,12,100,15,163,12,62,1,17
